Order ID,Order Item ID,Carrier Slug,Tracking Number
339427,39794,usps,92487902816707880021762741
341084,39863,usps,420750359205590341364121308237
341084,39864,usps,420750359205590341364121308237
341084,39865,usps,420750359205590341364121308237
341084,39866,usps,420750359205590341364121308237
341084,39867,usps,420750359205590341364121308237
341084,39868,usps,420750359205590341364121308237
341084,39869,usps,420750359205590341364121308237
341145,39897,usps,92487902816707910021762769
341566,39907,dhl,4190085594
341120,39886,NOTFOUND,
341593,39921,NOTFOUND,
341593,39922,NOTFOUND,
